"Tweets","Sentiments"
"NOVA l PBS IS THE BEST

 PBS  ",2
"gt consumers never used to make a purchase AAPL GOOG AMZN  MSFT httpstco",2
"Will soon become your home physician AMZN  MSFT GOOG AAPL",1
"How to make  your phones",0
"Finding their  enter the enterpise gtgt gtgt  ",0
"Take a glimpse of whats possible in the Heres how Microsoft is bringing coworkers and content together",2
"Microsoft is looking to forge its own path with rather than attempting to play catch up",0
"Take a glimpse of whats possible in the Heres how Microsoft is bringing coworkers and content t",2
"Nice to see more collaboration 

 and 

",2
"Finding their  enter the enterpise gtgt gtgt  ",0
"Battle to the death Three Virtual Assistants enter only one will survive ",1
"Researchers just proved why its so scary that digital assistants are always listening",1
"Adding artificial intelligence bots to Cortana for Office 

 ",2
"Finding their  enter the enterpise gtgt gtgt  ",0
"My computer is pausing within audio play because WRONGLY thinks me adressing smth thats a huge FUP",1
"Finding their  enter the enterpise gtgt gtgt  ",0
"From hailing a taxi with to creating on Azure highlights a new focus on the custome",2
"champ Lock unlock order Courts have ruled that subliminal messages may constitute an invasion of privacy but the law has not ext",2
"Because we all deserve a personal assistant",2
"Because we all deserve a personal assistant",2
"Because we all deserve a personal assistant",2
"Because we all deserve a personal assistant",2
"Because we all deserve a personal assistant",2
"Because we all deserve a personal assistant",2
"Because we all deserve a personal assistant",2
"Finding their  enter the enterpise gtgt gtgt  ",0
"champ Lock unlock order Courts have ruled that subliminal messages may constitute an invasion of privacy but the law has not ext",2
"champ Lock unlock order Courts have ruled that subliminal messages may constitute an invasion of privacy but the law has not ext",2
"Lock unlock order Courts have ruled that subliminal messages may constitute an invasion of privacy but the law",1
"Finding their  enter the enterpise gtgt gtgt  ",0
"accounts for of all   With voice like",2
"Microsoft is looking to forge its own path with rather than attempting to play catch up",0
"Finding their  enter the enterpise gtgt gtgt  ",0
"My computer is pausing within audio play because WRONGLY thinks me adressing smth thats a huge FUP",1
"QUANTIQTech Microsoft is looking to forge its own path with rather than attempting to play catch up",0
"Google assistant on Siri and Alexa edUAUBDedUBUedUAUBDedUBU It says Siri is sweet edUAUBDedUBU
  
",2
"Microsoft is looking to forge its own path with rather than attempting to play catch up",0
"At Googles annual IO developers conference on Tuesday the company outlined a new enhancement known as",2
"Finding their  enter the enterpise gtgt gtgt  ",0
"Finding their  enter the enterpise gtgt gtgt  ",0
"From hailing a taxi with to creating on Azure highlights a new focus on the custome",2
"you forgot to ask  Yknow the AI assistant on every Window PC She replied with a simple No",0
"Finding their  enter the enterpise gtgt gtgt  ",0
"My computer is pausing within audio play because WRONGLY thinks me adressing smth thats a huge FUP",1
"My computer is pausing within audio play because WRONGLY thinks me adressing smth thats a huge FUP",1
"My computer is pausing within audio play because WRONGLY thinks me adressing smth thats a huge FUP",1
"After a bit of discussion with we determined that it was FUCKING INSANE that there was no  So we",1
"Using builtin tools for like  and Nori learns to speak Japanese",2
"May the th it is Find the Easter egg you can thBeWithYou",0
"Read about the rise of in and society",0
"Finding their  enter the enterpise gtgt gtgt  ",0
"com Google beats Microsoft in AI demo war with Duplex
 ",1
"Microsoft looks to  ambient intelligence for smarter meetings",2
"After a bit of discussion with we determined that it was FUCKING INSANE that there was no  So we",1
"Some cool stuff powered by and",2
"Alexa Microsoft and partner to integrate and digital assistants 
 
LINK https",2
"and Microsoft integrate in apps for faster workflows",2
"This short video summary from CNET of includes a demo of s collaboration w",0
"com Google beats Microsoft in AI demo war with Duplex
 ",1
"Google beats Microsoft in AI demo war with Duplex",1
"Finding their  enter the enterpise gtgt gtgt  ",0
" Suite is the fully managed and advanced suite

UBUFEF",2
"Best team up ever  ",2
"",0
"Finding their  enter the enterpise gtgt gtgt  ",0
"Finding their  enter the enterpise gtgt gtgt  ",0
"Did you know is a combination of    and",0
"Finding their  enter the enterpise gtgt gtgt  ",0
"The options for bots in  ",0
"Did you know is a combination of    and",0
"After a bit of discussion with we determined that it was FUCKING INSANE that there was no  So we",1
"Finding their  enter the enterpise gtgt gtgt  ",0
"Google beats Microsoft in AI demo war with Duplex
 ",1
"Microsoft is an enterprise software company And nowhere is that more important than with AI

",2
"Google beats Microsoft in AI demo war with Duplex",1
"Then tie my PCs Laptops and HP Elite X all working with over all those devices",2
"After a bit of discussion with we determined that it was FUCKING INSANE that there was no",1
"Microsoft integrates Alexa to Windows Now you can switch between Cortana and Alexa
 ",0
"surprising ways could be part of our lives by  ",0
"Just had my first perfect interaction with  when it works properly its a thing of beauty edUAUBDedUBUA",2
"Did you know you can use while in Windows  can help you get around faster with your voice edUAUBDedUBU",2
"HIGH Im DANK You for the You know I am Chasing my Dreams",1
"Did you know you can use while in Windows  can help you get around faster with your voice edUAUBDedUBU",2
"Did you know you can use while in Windows  can help you get around faster with your",2
"Could you help me with a skill
I do not and never will use Tunein Please tell me how to remove or dis",2
"Finding their  enter the enterpise gtgt gtgt  ",0
"Finding their  enter the enterpise gtgt gtgt  ",0
"OH GOD MAKE IT STOP",1
"Using builtin tools for like  and Nori learns to speak Japanese",2
"Finding their  enter the enterpise gtgt gtgt  ",0
"On this weeks   and  have finally become friends",2
"and  have finally become friends",2
"Regarding your article",0
"OH GOD MAKE IT STOP",1
"Finding their  enter the enterpise gtgt gtgt  ",0
"Siri Alexa Cortana and the command of womens  via staub 

",0
"Siri Alexa Cortana and the command of womens",0
"I cant speak to all the features or speaker have BUT I can tell you this  ena",0
"On bundling into its allinone PC even tho Cortana is built into Windows adding cost to a PC by buil",0
"helps to forge ahead of  
",2
"helps to forge ahead of  
",2
"Have you considered how helpful can be She reminds me with conversations I had with a colleague in the mo",2
"Finding their  enter the enterpise gtgt gtgt  ",0
"With Conversational tools developers can build connect deploy and manage intelligent that",2
"Finding their  enter the enterpise gtgt gtgt  ",0
"Finding their  enter the enterpise gtgt gtgt  ",0
"Finding their  enter the enterpise gtgt gtgt  ",0
"Finding their  enter the enterpise gtgt gtgt  ",0
"Finding their  enter the enterpise gtgt gtgt  ",0
"Yo if could help people find a job in that would be cool Although the platform is al",2
"Some Turing Test Humor Lolz   ",2
"Finding their  enter the enterpise gtgt gtgt  ",0
"Finding their  enter the enterpise gtgt gtgt  ",0
"Finding their  enter the enterpise gtgt gtgt  ",0
"is better than any  must be integrated with Ruhh  is just like to be Ruuh",2
"Finding their  enter the enterpise gtgt gtgt  ",0
"Finding their  enter the enterpise gtgt gtgt  ",0
"Finding their  enter the enterpise gtgt gtgt  ",0
"Finding their  enter the enterpise gtgt gtgt  ",0
"Finding their  enter the enterpise gtgt gtgt  ",0
"Smart Speakers and Millions of Opportunities for Developers ",2
"Jumpstart your learning using  Win Stratis tshirts Invoke speaker Thank you",2
"If you get the error message Start menu and have stopped working look here",1
"overpowering   through 
",1
"overpowering   through 
",1
"Finding their  enter the enterpise gtgt gtgt  ",0
"Smart Speakers and Millions of Opportunities for Developers ",2
"Jumpstart your learning using  Win Stratis tshirts Invoke speaker Thank you",2
"Smart Speakers and Millions of Opportunities for Developers ",2
"Nobody is going to ask to talk to",2
"If you get the error message Start menu and have stopped working look here",1
"Im at in Cambridge MA today tomorrow and on Thursday If youre here too Ill be happy to chat",2
"Im at in Cambridge MA today tomorrow and on Thursday If youre here too Ill be happy to chat",2
"Im at in Cambridge MA today tomorrow and on Thursday If youre here too Ill be happy to chat",2
"Machine Learning AI session by 
 
",2
"Machine Learning AI session by 
 
",2
"business   what comes to mind when you hear these names",0
"Machine Learning AI session by 
 
",2
"Machine Learning AI session by 
 
",2
"Machine Learning AI session by 
 
",2
"Hey Cortana why would and misspell the product name of the voice activated speake",0
"Thank you Really looking forward to continuing the story  i",2
"DaysOfCode d DaysOfCode 

Artificial Intelligence
 Bots Created QnA with Knowledge base on Microso",2
"Thank you Really looking forward to continuing the story  i",2
"DaysOfCode d DaysOfCode 

Artificial Intelligence
 Bots Created QnA with Knowledge base on Microso",2
"DaysOfCode d DaysOfCode 

Artificial Intelligence
 Bots Created QnA with Knowledge base on Microso",2
"DaysOfCode d DaysOfCode 

Artificial Intelligence
 Bots Created QnA with Knowledge base on Microso",2
"DaysOfCode d DaysOfCode 

Artificial Intelligence
 Bots Created QnA with Knowledge base on",2
"How do you make a  angry Escalate     ",1
"is the next   halo",0
"business   what comes to mind when you hear these names",0
"If you get the error message Start menu and have stopped working look here",1
"My Sufacepro suggest I ask when the game is needles to say I need a new laptop mine got th",2
"This stylish Cortana

",2
" You just didnt update your bio and selectively edit the settings",0
"When Im not going to bed yet Daily",0
"Overview of Cortana Skills Kit
",0
"of course is best for me",2
"is coming

",0
"The latest Windows Phone News",0
"Thought Id have a play with tonight USELESS In fact I think its even dumber than Trump Recognition",1
"Negative Outcome Not Good    ",1
"The future of Cortana is all about helping you work better on Windows and beyond",2
"For me and fall into the same category Things that spam you while you are trying to do get things done",1
"Understanding Technical Debt in Software Testing
  ",2
"Find out how and machine learning technologies such as  and  will affect",2
"Is the chip being used by now a brand new AI in Infinite Id like to think its an old",2
"Find out how and machine learning technologies such as  and  will affect mar",2
"Find out how and machine learning technologies such as  and  will affect",2
"Xbox One To Support Alexa amp Google Assistant Soon ",2
"Understanding Technical Debt in Software Testing",2
"Windows Phone Features I Cant L   ",0
"Homemade  Device with Arduino",0
"If I could find out whoever made it so you CANT SHUT OFF I would",0
"its not free New W update should solve this problem of texting from the PC You can actually text from",2
"Cortana help me to configure my laptop computer ",0
"Why not edUAUBDedUBU ",0
"Setting up microphone function for your edUAUBDedUBUBD PC is faster than choosing a character for",2
"Had a new laptop running for all of minutes and already hate and  

If I want to install",2
"Something along these lines might be something for to add to being able to talk to other digital assistants",2
"When can we say is dead in the consumer space",1
"Daily",0
"While the press focuses on the dont look at  with one of the worst",1
"Look closely and tell me what you see   ",0
"I really really want to use but the proactive cards have been removed from  was kille",2
"demonstrates and integration",0
"If you get the error message Start menu and have stopped working look here",1
" By now you probably know all of their names for personal use But did you know",0
"For no particular reason I would like to hear     and perhaps",2
"Is there no place I can go no Windows product I can buy that is free from the scourge known as",0
" what comes to mind when you hear these names",0
"Threeandhalf hours later the new update has still to finalise Complete with the unwanted u",2
"FRIDAY Shaping up to be a pretty chill weekend relaxing with friends edUAUBDedUBUB

 ",2
"If you get the error message Start menu and have stopped working look here",1
"will you PLEASE allow us adults to control the level of language filtering on  Im an",2
"Microsofts and Amazons Are Now Working Together Adweek",2
"Hum What about the easy sharing of files between devices  that we own without having to c",2
"FRIDAY Shaping up to be a pretty chill weekend relaxing with friends edUAUBDedUBUB

",2
"s and  Are Now Working Together",2
"If you get the error message Start menu and have stopped working look here",1
"thanks for the amp like and retweet",2
" and  Are Now Working Together",2
"Poznanovic burnout syndrome",1
"Check out the comparison between vs vs vs  httpstco",0
"and  Are Now Working Together",2
"burnout syndrome",1
"There is nothing in this world I loathe more than yelling at me at blaring volume every time I reset a computer",1
"integration with",0
"Experientialdata questing for mememarket money yields payment of Experience Points  Qu",2
"Humans use bot systems to guide the reallife pursuit amp collection of highdemand scarcelyavailable experiential",2
"Memeeconomy use cases bot responsible for predicting how their host will experience each menuitem at a",2
"Correction not edUAUBDedUBU unveiled the smart speaker Still hope  is added wit",2
"Yeah this was not the best week for Microsoft support
I kinda think theres no such thing as Micro",2
"Will eventually show up on new smartypants speaker The obvious big are there Although",2
"edUAUBDedUBU POLL TIME

Whats the most promising industry for voice assistants

 ",2
" what comes to mind when you hear these names 

From business",0
"business   what comes to mind when you hear these names",0
"From Today we introduce for PC solutions from Original Design Manufacturers Mariel van Tatenhove o",2
"Master Chief Arbiter and Cortana playing splitscreen A mini LAN party This is NOT my art nor am I taking credit",2
" what comes to mind when you hear these names",0
"Master Chief Arbiter and Cortana playing splitscreen A mini LAN party This is NOT my art nor am I taking credit",2
"Master Chief Arbiter and Cortana playing splitscreen A mini LAN party This is NOT my art nor am I taking cred",2
"xt Hi who is s GF",0
"yep we canceled ours because of the house upgrade
I just wish could have a bit of discipl",2
"From Today we introduce for PC solutions from Original Design Manufacturers Mariel van T",2
"is the most popular personal assistant today in the enterprise ",2
"is the most popular personal assistant today in the enterprise ",2
"Microsoft acquires company to make and sound more ",0
"Microsoft acquires company to make and sound more ",0
"Seo Hyelin of as from video game series
 ",0
"I havent connected mine yet but it looks like Ill be doing that tonight 
",0
"Give Github some XP flair

For Memories

",2
"I feel these are the exact things has been lacking for quite some time There is very litt",1
" what comes to mind when you hear these names",0
"Advances in AI will be an iteration of the convergence of todays buzzwords big data cloud computing biometric v",2
"Which of the following has Jennifer Taylor NOT voiced 
edUAUBCedUBUA       edUAUBCedUBUA 
edUAUBCedUBUA or edUAUBCedUBUA",0
"Are children developing rude interpersonal skills by watching adults bluntly interact with  or",1
"I tried to use on a Windows Phone but was told that I need to be older before it will help me and I a",0
"Is This Fun In Its Raw Form 
Shall We Ask  amp 

More Info amp Booking",2
"Daily",0
"How voice assistants will make money  ",2
"Finally got a chance to crystalize my thoughts on Microsoft build conference Over sessions so lots to abs",2
"shoutouts to automatic updates and edUAUBDedUBUAedUAUBDedUBUAedUAUBDedUBUA",0
"Google Assistant and Amazon Echo are on their way to Microsofts Xbox One ",0
"Use of  Assistant and other devices grew in with over half of US households",0
"Intelligent voice assistants are everywhere Are you ready for ",2
"Alexa finally learns French trails other assistants to France",2
"If you get the error message Start menu and have stopped working look here",1
"Huh I just realized that it would be cool if could turn on my when I tell her to do that on my PC edUAUBDedUBUBBedUAUBDedUBUBUDedUAUBDedUBAUedUAUBCedUBEUAE",2
" and A new study shows that digital assistants are improving year on year",2
"We were so excited about and waited months before we had to upgrade our home in Phoenix Its",2
"I find it funny that u included a photo of the in your story
I touched base with the company man",2
"Adding  bots to for Office at",0
"Why Alexa Is Coming to Your Laptop   ",0
"Another cruel joke is playing on dutch users edUAUBDedUBU and NO of course this sharing action doesnt wo",1
"Smart Speakers and Millions of Opportunities for Developers ",2
"Smart Speakers and Millions of Opportunities for Developers ",2
"For those following  now a productivity tool not a personal assistant",2
" Yeah the first games were brilliant especially went off the boil when bungie stopped making them stil",2
"quick tips Get the most out of",0
"
Follow Us on Malcde CyberNet",0
"Yeah the first games were brilliant especially went off the boil when bungie stopped making them s",2
"Im a massive halo fan and the halo anniversary cut scenes were amazing especially this one were the chief wants to give",2
"Why dont I trust Ms Me and Ms Siri be trading secrets like we kids in grade school I dont know where",2
"Will soon become your home physician AMZN  MSFT GOOG AAPL",1
"Smart Speakers and Millions of Opportunities for Developers ",2
"Smart Speakers and Millions of Opportunities for Developers ",2
"Smart Speakers and Millions of Opportunities for Developers ",2
"Need to connect your Gemini PDA to Microsofts Azure or Office services Learn how with our quick guide",2
"Smart Speakers and Millions of Opportunities for Developers ",2
"Smart Speakers and Millions of Opportunities for Developers ",2
"podcast covering  in  and",0
"Im a massive halo fan and the halo anniversary cut scenes were amazing especially this one were the chief wants to give",2
"If you get the error message Start menu and have stopped working look here",1
"Im a massive halo fan and the halo anniversary cut scenes were amazing especially this one were the chief wants to give",2
"Im a massive halo fan and the halo anniversary cut scenes were amazing especially this one were the chief wants to give",2
"Im a massive halo fan and the halo anniversary cut scenes were amazing especially this one were the chief wants to give",2
"If you get the error message Start menu and have stopped working look here",1
"Im a massive halo fan and the halo anniversary cut scenes were amazing especially this one were the chief wants",2
"Working with  How is it Think Ill edit autosuggestbox style too  
",1
"Digital Watch and Google like a hawk keep an eye on and keep on the backburner Advice from our cofounder",2
"Sue an maker in case of stalking   ",1
"For those following  now a productivity tool not a personal assistant",2
"For those following  now a productivity tool not a personal assistant",2
"Xbox to Add Alexa and GoogleAssistant Options",0
"Just listened to your ep Really fascinating I thought of a question on my way into work",2
"ayy shoutouts to",0
"SEO firm Stone Temple says that Google continues to outpace Amazon Apple and Microsoft",1
"Epic  and  at",2
"Epic  and at",2
" It should work with edUAUBDedUBUD",2
"my boy out for the count ",2
"Which one you choose 

  
   APPL
",0
"Which one you choose 

  
   APPL
",0
"Which one you choose 

  
   APPL
",0
"Which one you choose 

  
   APPL
",0
"Which one you choose 

  
   APPL
",0
"I have had a  for the last years but recently switched to an  kicks",0
"The future of is all about helping you work better on Windows and beyond",2
"I have defied gods and demons I am your shield I am your sword I know you your past your future This is the",1
"Xbox One To Support Alexa amp Google Assistant Soon ",2
"I cant let it slide that the  speaker with still doesnt have either",0
"Its months into and Cortana on the Harman Kardon speaker still cant send a text only on",0
"  Master Chief vs Storm Trooper Who win",2
"Amazing Cortana Cosplay 
     ",2
"Anyone know when this is going to be available in Australia Or anything similar for Cortana",2
"It is pm just reminded me that it is am Time to turn on my phone",0
"especially as its rivals already have the ability to perform multistep routines ",2
"Extend your with predicative and cognitive insights during the Intelligence Suite webinar http",2
"Working with  How is it Think Ill edit autosuggestbox style too ",1
"The Xbox One will reportedly soon support Alexa and Google Assistant The Verge",2
"Extend your with predicative and cognitive insights during the Intelligence Suite webinar",2
"Nobody is going to ask to talk to",2
"Digital Watch and Google like a hawk keep an eye on and keep on the backburner Advice from our cofounder",2
"Microsofts digital assistant Cortana can make your life easier and more efficient",2
"Xbox One may soon welcome Alexa and Google Assistant",2
"Microsoft plays off on Xbox pricecut assistant integration",0
"Microsoft plays off on Xbox pricecut assistant integration",0
"Which one you choose 

  
   APPL",0
"The Xbox One will reportedly soon support Alexa and Google Assistant The Verge",2
"I dont think it is a onetakesall scenario in the battle We use at home but on t",1
"Which is better

  

 APPL
 
 ",2
"Anyone else sick to death of  Every time I switch you off you come back like a Bmovie bad guy GO AWAY",1
"Watch and Google like a hawk keep an eye on and keep on the backburner Advice from our co",2
"Which Personal Assistant is the Smartest
  
",2
"Microsoft buys a startup that wants AI to make conversation with humans ",0
"Rubino Well I guess cares otherwise why would be in the in the first place It",2
"Just asked to beat box 

And Im still giggling 

",0
"I see you 
   ",0
"OK Google  Can you tell me some stats on by  via",0
"",0
"Leaked Software Build Hints At Amazon And Voice Integration",1
"Microsoft Looks Set to Allow Amazon Alexa and Google Assistant on The Xbox One",2
"Id much rather control my Xbox with the only assistant I need D",0
"Microsoft acquires Semantic Machines advancing the state of conversational AI
 ",2
"Well well tired of Cortana Or just want more help Well guess what Amazon Alexa and google assistant is most li",2
"Xbox One To Support Alexa amp Google Assistant Soon ",2
"Xbox One To Support Alexa amp Google Assistant Soon ",2
"If a screenshot sent to Windows Central is to believed gamers will soon have two new digital assistants available",2
"If a screenshot sent to Windows Central is to believed gamers will soon have two new digital assistants available",2
"Okay thanks but Im actually about to board the aircraft",2
"One may soon welcome and Assistant A leaked One screenshot from an upcoming build sugge",2
"One week later will announce death of for sure",1
"more assistive than assistant Welcome back Clippy edUAUBDedUBUE Nobody needs you nobody wants you
And its on",2
"Rubino The downplaying of follows the pattern of denying its all over deemphasisi",1
"The end of  is happening faster than I imagined Once said that their voice assistant",2
"Most owners dont use their devices to online and more than half say its because of a lack of",1
"If you get the error message Start menu and have stopped working look here",1
"Cortana abandonware again Microsoft is bringing Alexa and Google Assistance to Xbox One ",2
"I dont believe does have any intentions or visions for consumer edUAUBDedUBUAA even opened its doors for",2
"of writing on LikeAGirl They can be integrated with products we use daily",2
"Cortana abandonware again Microsoft is bringing Alexa and Google Assistance to Xbox One",2
"Is this the first step is taking to kill off my and 
Frightening",1
"How to Disable Cortana on Windows Home  
",1
"Dorset Mobile just worked With on board including her instructions as voice navigation on easy integr",2
"Mobile just worked With on board including her instructions as voice navigation on easy",2
"Microsoft just bought an startup to improve  skills

",2
"Finding their  enter the enterpise gtgt gtgt  ",0
"May the th it is Find the Easter egg you can thBeWithYou",0
"on are content to rely on our digital assistants for just one or a handful of specific tasks",2
"Smart Speakers and Millions of Opportunities for Developers ",2
"Smart Speakers and Millions of Opportunities for Developers ",2
"Smart Speakers and Millions of Opportunities for Developers ",2
"Smart Speakers and Millions of Opportunities for Developers ",2
"Microsoft acquires Semantic Machines advancing the state of conversational AI
 ",2
"Microsoft acquires Semantic Machines advancing the state of conversational AI
",2
"A Womans intelligence comprises of an IRRATIONALITY and an Infinity The irrational part is Emotional Intelligence",1
"gives some RESPECT",2
"The Future of      ",0
"The view certainly helped sodoku sheer poetry",2
"The beings that actually control everything today are the same beings that gave us inventions like furbies and wors",2
"If you get the error message Start menu and have stopped working look here",1
"A Womans intelligence comprises of an IRRATIONALITY and an Infinity The irrational part is Emotional Intelligenc",1
" Copy The is at the ready has a line on the memories of an ancient ruin that allows",2
"Copy The is at the ready has a line on the memories of an ancient ruin tha",2
"Saw you review on Invoke vs Echo For would you now consider Invoke worthwhile Also has o",2
"How to Disable Cortana on Windows Pro  
",1
"This morning I tweeted about NOT capitalizing on their ideas I forgot the b",0
"Ever try conversing with Cortana in a different language Nori an Insider from Argentina chats with Cortana in Japane",0
"
Which of the following has Jennifer Taylor NOT voiced 
edUAUBCedUBUA  edUAUBCedUBUA 
edUAUBCedUBUA or edUAUBCedUBUA",0
"If you get the error message Start menu and have stopped working look here",1
"AIISMYFriend blog 

Purpose of blog



  ",0
"Finally seeing everyone start to ramp up efforts with their assistantslets keep it up

",2
"How do I   So that it will NEVER update EVER AGAIN Also want to out",0
"Alexa Eavesdropping Flub ReSparks Voice Assistant Privacy Debate via ",1
"Alexa Eavesdropping Flub ReSparks Voice Assistant Privacy Debate",1
"My computer just popped up a blue circle and a message reading tap and ask how many pints are in a litre I did w",2
"and join forces to sort you out 
Alexa can now schedule meetings with your contacts",2
"Amazing Cortana Cosplay 
     ",2
"Amazing Cortana Cosplay 
     ",2
"Most owners dont use their devices to online and more than half say its because of a lack of",1
"Coverage from of following and 

",0
" Dreaming about what else Voice could bring to your product with custom via Altrans",0
"While practicing extreme humanization turn off cell phone Body language has upside 
aside No ",0
"just bought an  to improve 
",2
"If you get the error message Start menu and have stopped working look here",1
"Check Me Out Setting Up My Halo Channel edUAUBDedUBUD

customs 
 
  ",0
"Coverage from of following and 

",0
"just bought an  to improve 
",2
"s been trying to schedule a group hang with  and edUAUBDedUBU",1
"If you use  to identify a song well that part of the service has been shut down for awhile so",2
"Inch from is now up for Patrons and is VERY NSFW If you want to check it out head on over and pledge a",2
"Master Chief amp Cortana
Become my Patreon Member today to get the FullSize No Watermark version",0
"Coverage from of following and 

",0
"Seriously  dont risk it where are the warnings edUAUBEedUBU",1
"new video up later today at PST  ",2
"new video up later today at PST",2
"Joy 
 
 
amp 
are listening 
 to youUEUEUEUE
            UDUEUEUEUF",2
"Joy 
 
 
amp 
are listening 
 to youUEUEUEUE
            UDUEUEUEUF",2
"
 
 
amp 
are listening 
 to youUEUEUEUE
            UDUEUEUEUF",0
"Nobody is going to ask to talk to",2
"Microsoft Windows update is an utter mare WARNING  do not update read up on all the errors fi",1
"Cortana is the native to a computer Use for almost anything Here are a few",0
"is the most popular personal assistant today in the enterprise",2
"Over billion people will use digital assistants by edUAUBDedUBUAedUAUBEedUBUedUAUBDedUBUA

HT edUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBD

",0
"So I got frustrated that cortana wasnt hearing what I said and told her she was fired and this is her response",1
"If you get the error message Start menu and have stopped working look here",1
"Youd think someone has recorded  and all in a room together duking it out Reminder to sel",0
"Finding their  enter the enterpise gtgt gtgt  ",0
"I figured that when my computers app said lets set up your",0
"Hey you should do what I said here but for",0
"And on that topic 

Does anyone even use  edUAUBCedUBEUA",0
"is acquiring conversational AI startup Semantic Machines in an effort to make bots and intelligent assis",2
"enough of this Im so ashamed that Americans are pretending not to know these devices are collecting info",1
"Just  holding  from 
Today is going well",2
"In the name of assistance like These   tech companies are maki",2
"Tonights piece 
  edUAUBCedUBEUAedUAUBCedUBCUUUFEF",0
"What To Do If Files Are Missing After Windows April Update",1
"We asked  or 

Her replyThats like choosing between SpiderMan and Superman Oh wait

What do",2
"We asked  or 

Her replyThats like choosing between SpiderMan and Superman Oh wait",2
"can we we have a future where Cortana show me MSFT closing price every day at pm actua",0
"fankat So

You didnt surrender that AI

 ",1
"These figures say a lot Also if one tracks embedded voice rec software then will feature prominently an",2
"csit announces new conversational center of excellence to work alongside other AI initiatives like Intel",2
"and join forces to sort you out 
Alexa can now schedule meetings with your contacts",2
"Microsoft acquires company to make and sound more human via",0
"Are you trying to build your own  but with custom voice models Look no further with the New M",2
"In case you missed this true story Amazons digital assistant is recording everything you say not just after the",0
"Yes they are listening always listening 
  
An Amazon Echo recorded a fam",2
"is pretty cool
So is the 
I just automated my AC
With Styrofoam and hot glue",2
"ratan Fixes Lock Screen Bypass Flaw

  ",1
"ratan Fixes Lock Screen Bypass Flaw

  ",1
"The leader of the edUAUBCedUBEUAEedUAUBDedUBAUedUAUBDedUBU",2
"is useless It seems like it always goes to the Web when the app is installed",1
"Edelman Software Could Help Anyone Unlock Your Computer ",0
"Software Could Help Anyone Unlock Your Computer",0
"Inaudible Signals can be used to hijack controlled digital assistants like",0
"ratan Fixes Lock Screen Bypass Flaw

  ",1
"Laura just asked what her favourite food was she replied chips silicone rather than organic edUAUBDedUBUB",2
"can be fooled by to give them access to your via 

 https",1
"Agree was valuable asset to test development of the in zero gravity Daily  She never t",2
"Microsoft acquires company to make and bots sound more human",0
"can be fooled by to give them access to your via 

 https",1
"ratan Fixes Lock Screen Bypass Flaw

  ",1
"Virtual assistants should be able to handle at least two different languages at the same time This would be a ga",0
"ratan Fixes Lock Screen Bypass Flaw

  ",1
"can be fooled by to give them access to your via 

 https",1
"Software Could Help Anyone Unlock Your Windows Computer via",0
"ratan Fixes Lock Screen Bypass Flaw

  ",1
"ratan Fixes Lock Screen Bypass Flaw

  ",1
"can be fooled by to give them access to your via 

",1
"My new design 
  ",2
"ratan Fixes Lock Screen Bypass Flaw

  ",1
"ratan Fixes Lock Screen Bypass Flaw

  ",1
"Fixes Lock Screen Bypass Flaw",1
"Isamashii Set Me Free Yuri Tag
Eden from Rez amp Cortana from Halo
Nuff said

 ",2
"Set Me Free Yuri Tag
Eden from Rez amp Cortana from Halo
Nuff said
",2
" How to Turn Off Cortana on a Windows PC",0
"seems to be doing updates for  This must be the first time",0
"Heres how Amazons Alexa will work with Microsofts Cortana ",2
"Feeling so happy that we have men and women in a workshop designing alternatives to ",2
"fixes critical amp important vulnerabilities the most critical vulnerability affects  w",1
"Things to Disable On Windows",1
"in Microsoft Windows Exploiting 

",1
"Microsoft fixes Cortana flaw that let hackers bypass Windows s lock screen via w Th",1
"Feeling so happy that we have men and women in a workshop designing alternatives to ",2
"Critical flaw in allowed access to sensitive files in locked devices",1
"Critical flaw in Cortana allowed access to sensitive files in locked devices",1
"can summon to break into  PCs",1
"Probably in some docs somewhere but after my Invoke wouldnt enter Bluetooth pairing using the button i tried He",0
" Allows Hackers to Break into your Locked Windows PC",1
"Want to Break Into a Locked Windows Device Ask Cortana CVE",1
"mitk Which also means you can execute from within how awesome is that Press WinKey paste PowerShell",2
" Allows Hackers to Break into your Locked Windows PC",1
"mitk Which also means you can execute from within how awesome is that Press WinKey paste PowerShell",2
"Feeling so happy that we have men and women in a workshop designing alternatives to ",2
"mitk Which also means you can execute from within how awesome is that Press WinKey paste PowerShell",2
"hey where is the checkbox to say never show me football things again I know how proud you are of a new skill but",2
"hey where is the checkbox to say never show me football things again I know how proud you are of a new s",2
"Voice assistants are starting to get hot in the business world ",1
"Is your computer up to date Our clients covered under one of our monthly maintenance plans are Contact us to find",2
" Allows to Break into your Locked PC
",1
" Allows to Break into your Locked PC
",1
"Feeling so happy that we have men and women in a workshop designing alternatives to ",2
"has patched a flaw in its virtual assistant that could enable hackers to bypass the lock screen",2
"Huge  allowed an attacker to  lock screen ",1
"Researchers Find That Can Be Used To  PCs",0
"mitk Which also means you can execute from within how awesome is that Press WinKey paste PowerShell",2
"If youre interested in especially as a performance support tool then you should book onto",2
"Feeling so happy that we have men and women in a workshop designing alternatives to ",2
"Feeling so happy that we have men and women in a workshop designing alternatives to",2
" vulnerability has been patched  Update",1
